filename,class,model,predicted
portable/achallenges.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/achallenges.py,portable,x-ai/grok-4-fast,portable
portable/achallenges.py,portable,openai/gpt-4o-mini,portable
portable/achallenges.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/monitor.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/monitor.py,portable,x-ai/grok-4-fast,portable
portable/monitor.py,portable,openai/gpt-4o-mini,nonportable
portable/monitor.py,portable,deepseek/deepseek-chat-v3.1:free,nonportable
portable/test_sync.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/test_sync.py,portable,x-ai/grok-4-fast,portable
portable/test_sync.py,portable,openai/gpt-4o-mini,portable
portable/test_sync.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/normal.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/normal.py,portable,x-ai/grok-4-fast,portable
portable/normal.py,portable,openai/gpt-4o-mini,nonportable
portable/normal.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/platform2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/platform2.py,portable,x-ai/grok-4-fast,portable
portable/platform2.py,portable,openai/gpt-4o-mini,nonportable
portable/platform2.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/path2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/path2.py,portable,x-ai/grok-4-fast,portable
portable/path2.py,portable,openai/gpt-4o-mini,nonportable
portable/path2.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/platform1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/platform1.py,portable,x-ai/grok-4-fast,portable
portable/platform1.py,portable,openai/gpt-4o-mini,portable
portable/platform1.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/path1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/path1.py,portable,x-ai/grok-4-fast,portable
portable/path1.py,portable,openai/gpt-4o-mini,portable
portable/path1.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/acouplecooks.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/acouplecooks.py,portable,x-ai/grok-4-fast,portable
portable/acouplecooks.py,portable,openai/gpt-4o-mini,portable
portable/acouplecooks.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/test_finder.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/test_finder.py,portable,x-ai/grok-4-fast,portable
portable/test_finder.py,portable,openai/gpt-4o-mini,portable
portable/test_finder.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/pipeline.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/pipeline.py,portable,x-ai/grok-4-fast,portable
portable/pipeline.py,portable,openai/gpt-4o-mini,nonportable
portable/pipeline.py,portable,deepseek/deepseek-chat-v3.1:free,nonportable
portable/bar.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/bar.py,portable,x-ai/grok-4-fast,portable
portable/bar.py,portable,openai/gpt-4o-mini,portable
portable/bar.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/plugin1.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/plugin1.py,portable,x-ai/grok-4-fast,portable
portable/plugin1.py,portable,openai/gpt-4o-mini,portable
portable/plugin1.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/test_extract_list.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/test_extract_list.py,portable,x-ai/grok-4-fast,portable
portable/test_extract_list.py,portable,openai/gpt-4o-mini,nonportable
portable/test_extract_list.py,portable,deepseek/deepseek-chat-v3.1:free,portable
portable/cookieandkate.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/cookieandkate.py,portable,x-ai/grok-4-fast,portable
portable/cookieandkate.py,portable,openai/gpt-4o-mini,portable
portable/cookieandkate.py,portable,deepseek/deepseek-chat-v3.1:free,nonportable
portable/test_checker.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/test_checker.py,portable,x-ai/grok-4-fast,portable
portable/test_checker.py,portable,openai/gpt-4o-mini,nonportable
portable/test_checker.py,portable,deepseek/deepseek-chat-v3.1:free,nonportable
portable/scrap.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/scrap.py,portable,x-ai/grok-4-fast,portable
portable/scrap.py,portable,openai/gpt-4o-mini,nonportable
portable/scrap.py,portable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/File_descriptor_limits.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/readline.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/readline.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/readline.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/readline.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Opened_file_locking.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Opened_file_locking.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Opened_file_locking.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Opened_file_locking.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/no_display_avaliable_in_github_ci_for_linux.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/GUI_window-manager_differences.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/GUI_window-manager_differences.1.py,nonportable,x-ai/grok-4-fast,portable
